date,yield
1979-01-02,10
1979-01-03,9.98
1979-01-04,9.88
1979-01-05,9.87
1979-01-08,9.92
1979-01-09,9.92
1979-01-10,9.94
1979-01-11,9.92
1979-01-12,9.92
1979-01-15,9.91
1979-01-16,9.92
1979-01-17,9.91
1979-01-18,9.92
1979-01-19,9.91
1979-01-22,9.86
1979-01-23,9.85
1979-01-24,9.85
1979-01-25,9.78
1979-01-26,9.67
1979-01-29,9.67
1979-01-30,9.68
1979-01-31,9.64
1979-02-01,9.61
1979-02-02,9.48
1979-02-05,9.53
1979-02-06,9.58
1979-02-07,9.67
1979-02-08,9.7
1979-02-09,9.7
1979-02-12,
1979-02-13,9.69
1979-02-14,9.67
1979-02-15,9.68
1979-02-16,9.68
1979-02-19,
1979-02-20,9.69
1979-02-21,9.71
1979-02-22,9.9
1979-02-23,9.92
1979-02-26,9.91
1979-02-27,9.89
1979-02-28,9.89
1979-03-01,9.87
1979-03-02,9.87
1979-03-05,9.83
1979-03-06,9.83
1979-03-07,9.81
1979-03-08,9.76
1979-03-09,9.79
1979-03-12,9.81
1979-03-13,9.8
1979-03-14,9.82
1979-03-15,9.82
1979-03-16,9.84
1979-03-19,9.81
1979-03-20,9.79
1979-03-21,9.79
1979-03-22,9.77
1979-03-23,9.77
1979-03-26,9.76
1979-03-27,9.73
1979-03-28,9.71
1979-03-29,9.67
1979-03-30,9.72
1979-04-02,9.74
1979-04-03,9.73
1979-04-04,9.71
1979-04-05,9.68
1979-04-06,9.75
1979-04-09,9.81
1979-04-10,9.81
1979-04-11,9.85
1979-04-12,9.85
1979-04-13,
1979-04-16,9.86
1979-04-17,9.77
1979-04-18,9.71
1979-04-19,9.68
1979-04-20,9.73
1979-04-23,9.73
1979-04-24,9.75
1979-04-25,9.77
1979-04-26,9.8
1979-04-27,9.93
1979-04-30,9.91
1979-05-01,9.91
1979-05-02,9.91
1979-05-03,9.93
1979-05-04,9.93
1979-05-07,9.91
1979-05-08,9.91
1979-05-09,9.9
1979-05-10,9.92
1979-05-11,9.9
1979-05-14,9.87
1979-05-15,9.87
1979-05-16,9.84
1979-05-17,9.72
1979-05-18,9.71
1979-05-21,9.75
1979-05-22,9.69
1979-05-23,9.65
1979-05-24,9.58
1979-05-25,9.5
1979-05-28,
1979-05-29,9.5
1979-05-30,
1979-05-31,9.56
1979-06-01,9.56
1979-06-04,9.56
