Year,Period,Label,12-Month % Change
1913,M01,1913 Jan,N/A
1913,M02,1913 Feb,N/A
1913,M03,1913 Mar,N/A
1913,M04,1913 Apr,N/A
1913,M05,1913 May,N/A
1913,M06,1913 Jun,N/A
1913,M07,1913 Jul,N/A
1913,M08,1913 Aug,N/A
1913,M09,1913 Sep,N/A
1913,M10,1913 Oct,N/A
1913,M11,1913 Nov,N/A
1913,M12,1913 Dec,N/A
1914,M01,1914 Jan,2
1914,M02,1914 Feb,1
1914,M03,1914 Mar,1
1914,M04,1914 Apr,0
1914,M05,1914 May,2.1
1914,M06,1914 Jun,1
1914,M07,1914 Jul,1
1914,M08,1914 Aug,3
1914,M09,1914 Sep,2
1914,M10,1914 Oct,1
1914,M11,1914 Nov,1
1914,M12,1914 Dec,1
1915,M01,1915 Jan,1
1915,M02,1915 Feb,1
1915,M03,1915 Mar,0
1915,M04,1915 Apr,2
1915,M05,1915 May,2
1915,M06,1915 Jun,2
1915,M07,1915 Jul,1
1915,M08,1915 Aug,-1
1915,M09,1915 Sep,-1
1915,M10,1915 Oct,1
1915,M11,1915 Nov,1
1915,M12,1915 Dec,2
1916,M01,1916 Jan,3
1916,M02,1916 Feb,4
1916,M03,1916 Mar,6.1
1916,M04,1916 Apr,6
1916,M05,1916 May,5.9
1916,M06,1916 Jun,6.9
1916,M07,1916 Jul,6.9
1916,M08,1916 Aug,7.9
1916,M09,1916 Sep,9.9
1916,M10,1916 Oct,10.8
1916,M11,1916 Nov,11.7
1916,M12,1916 Dec,12.6
1917,M01,1917 Jan,12.5
1917,M02,1917 Feb,15.4
1917,M03,1917 Mar,14.3
1917,M04,1917 Apr,18.9
1917,M05,1917 May,19.6
1917,M06,1917 Jun,20.4
1917,M07,1917 Jul,18.5
1917,M08,1917 Aug,19.3
1917,M09,1917 Sep,19.8
1917,M10,1917 Oct,19.5
1917,M11,1917 Nov,17.4
1917,M12,1917 Dec,18.1
1918,M01,1918 Jan,19.7
1918,M02,1918 Feb,17.5
1918,M03,1918 Mar,16.7
1918,M04,1918 Apr,12.7
1918,M05,1918 May,13.3
1918,M06,1918 Jun,13.1
1918,M07,1918 Jul,18
1918,M08,1918 Aug,18.5
1918,M09,1918 Sep,18
1918,M10,1918 Oct,18.5
1918,M11,1918 Nov,20.7
1918,M12,1918 Dec,20.4
1919,M01,1919 Jan,17.9
1919,M02,1919 Feb,14.9
1919,M03,1919 Mar,17.1
1919,M04,1919 Apr,17.6
1919,M05,1919 May,16.6
1919,M06,1919 Jun,15
1919,M07,1919 Jul,15.2
1919,M08,1919 Aug,14.9
1919,M09,1919 Sep,13.4
1919,M10,1919 Oct,13.1
1919,M11,1919 Nov,13.5
1919,M12,1919 Dec,14.5
1920,M01,1920 Jan,17
1920,M02,1920 Feb,20.4
1920,M03,1920 Mar,20.1
1920,M04,1920 Apr,21.6
1920,M05,1920 May,21.9
1920,M06,1920 Jun,23.7
1920,M07,1920 Jul,19.5
1920,M08,1920 Aug,14.7
1920,M09,1920 Sep,12.4
1920,M10,1920 Oct,9.9
1920,M11,1920 Nov,7
1920,M12,1920 Dec,2.6
1921,M01,1921 Jan,-1.6
1921,M02,1921 Feb,-5.6
1921,M03,1921 Mar,-7.1
1921,M04,1921 Apr,-10.8
1921,M05,1921 May,-14.1
