date,CPI_oil
1979-01-01,56
1979-02-01,56.4
1979-03-01,59.1
1979-04-01,62.2
1979-05-01,65.3
1979-06-01,69.1
1979-07-01,72.7
1979-08-01,76
1979-09-01,78.8
1979-10-01,80.4
1979-11-01,81.8
1979-12-01,83.9
1980-01-01,89.8
1980-02-01,94.3
1980-03-01,99.7
1980-04-01,98.7
1980-05-01,98.7
1980-06-01,98.2
1980-07-01,97.9
1980-08-01,97.8
1980-09-01,97.8
1980-10-01,98.6
1980-11-01,98.8
1980-12-01,99.3
1981-01-01,103.6
1981-02-01,110.1
1981-03-01,113
1981-04-01,110.6
1981-05-01,109
1981-06-01,107.8
1981-07-01,107.2
1981-08-01,107.2
1981-09-01,107.7
1981-10-01,108.4
1981-11-01,109
1981-12-01,108.6
1982-01-01,108.2
1982-02-01,106.1
1982-03-01,103.6
1982-04-01,97.2
1982-05-01,97.8
1982-06-01,102.8
1982-07-01,104.3
1982-08-01,104.1
1982-09-01,103.3
1982-10-01,103.2
1982-11-01,102.9
1982-12-01,100.3
1983-01-01,99.1
1983-02-01,95.8
1983-03-01,94.2
1983-04-01,98.3
1983-05-01,100.5
1983-06-01,101.1
1983-07-01,101.4
1983-08-01,102.1
1983-09-01,101.3
1983-10-01,100.7
1983-11-01,99.6
1983-12-01,98.7
1984-01-01,99
