reference,country,date,title,author,is_gov,text
r220218a_FOMC,united states,18/2/22,Preparing for the Financial System of the Future,brainard,0,"The financial system is undergoing fast-moving changes associated with digitalization and decentralization. Some of these innovations hold considerable promise to reduce transaction costs and frictions, increase competition, and improve financial inclusion, but there are also potential risks. With technology driving profound change, it is important we prepare for the financial system of the future and not limit our thinking to the financial system of today. In recent years, there has been explosive growth in the development and adoption of new digital assets that leverage distributed ledger technologies and cryptography. The market capitalization of cryptocurrencies grew from less than $100 billion five years ago to a high of almost $3 trillion in November 2021 and is currently around $2 trillion. In parallel, we have seen rapid growth in the platforms that facilitate the crypto platforms facilitate a variety of activities, including lending, trading, and custodying crypto-assets, in some cases outside the traditional regulatory guardrails for investor and consumer protection, market integrity, and transparency. The growth in the crypto finance ecosystem is fueling demand for stablecoins-- digital assets that are intended to maintain stable value relative to reference assets, such as the U.S. dollar. Stablecoin supply grew nearly sixfold in 2021, from roughly $29 billion in January 2021 to $165 billion in January 2022. There is a high degree of  concentration among a few dollar-pegged stablecoins: As of January 2022, the largest stablecoin by market capitalization made up almost half of the market, and the four largest stablecoins together made up almost 90 percent. Today, stablecoins are being used as collateral on DeFi and other crypto platforms, as well as in facilitating trading and monetization of cryptocurrency positions on and between crypto and other platforms. In the future, some issuers envision that stablecoins will also have an expanded reach in the payment system and be commonly used for everyday transactions, both domestic and cross-border. So it is important to have strong frameworks for the quality and sufficiency of reserves and risk management and governance. As noted in a recent report on stablecoins by the President's Working Group on Financial Markets, it is important to guard against run risk, whereby the prospect of an issuer not being able to promptly and adequately meet redemption requests for the stablecoin at par could result in a sudden surge in redemption demand. It is also important to address settlement risk, whereby funds settlement is not certain and final when expected, and systemic risk, whereby the failure or distress of a stablecoin provider could adversely affect the broader financial system.  The prominence of crypto advertisements during the Super Bowl highlighted the growing engagement of retail investors in the crypto ecosystem. Research found that 16 percent of survey respondents reported having personally invested in, traded, or otherwise used a cryptocurrency--up from less than 1 percent of respondents in 2015. There is also rising interest among institutional investors. So it is perhaps not surprising that established financial intermediaries are undertaking efforts to expand the crypto services and products they offer. If the past year is any guide, the crypto financial system is likely to continue to grow and evolve in ways that increase interconnectedness with the traditional financial system. As a result, officials in many countries are undertaking efforts to understand and adapt to the transformation of the financial system. Many jurisdictions are making efforts to ensure statutory and regulatory frameworks apply like rules to like risks, and some jurisdictions are issuing or contemplating issuing central bank currency in digital form.  Preparing for the Payment System of the Future The Federal Reserve needs to be preparing for the payment landscape of the future even as we continue to make improvements to meet today's needs. In light of the rapid digitalization of the financial system, the Federal Reserve has been thinking critically about whether there is a role for a potential U.S. central bank digital currency (CBDC) in the digital payment landscape of the future and about its potential properties, costs, and benefits. Our financial and payment system delivers important benefits today and is continuing to improve with developments like real-time payments. Nonetheless, certain challenges remain, such as a lack of access to digital banking and payment services for some Americans and expensive and slow cross-border payments. Growing interest in the digital financial ecosystem suggests that technology is enabling potential improvements that merit consideration. In addition, it is important to consider how new forms of crypto-assets and digital money may affect the Federal Reserve's responsibilities to maintain financial stability, a safe and efficient payment system, household and business access to safe central bank money, and maximum employment and price stability. It is prudent to explore whether there is a role for a CBDC to preserve some of the safe and effective elements of the financial system of the present in a way that is complementary to the private sector innovations transforming the financial landscape of the future. The public and private sector play important complementary roles within the  over a century of experience working to improve the infrastructure of the U.S. payment system to provide a resilient and adaptable foundation for dynamic private sector activity. In parallel, private sector banks and nonbanks have competed to build the best possible products and services on top of that foundation and to meet the dollar- denominated needs of consumers and investors at home and around the world. The result is a resilient payment system that is responsive to the changing needs of businesses, consumers, and investors. While the official sector provides a stable currency, operates some important payment rails, and undertakes regulation and oversight of financial intermediaries and critical financial market infrastructures, the private sector brings competitive forces encouraging efficiency and new product offerings and driving innovation. Responsible innovation has the potential to increase financial inclusion and efficiency and to lower costs within guardrails that protect consumers and investors and safeguard financial stability. As we assess the range of future states of the financial system, it is prudent to consider how to preserve ready public access to government-issued, risk-free currency in the digital financial system--the digital equivalent of the Federal Reserve's issuance of physical currency. The Board recently issued a discussion paper that outlines the Federal Reserve's current thinking on the potential benefits, risks, and policy considerations of a  The paper does not advance any specific policy outcome and does not signal that the Board will make any imminent decisions about the appropriateness of issuing a U.S. CBDC. It lays out four CBDC design principles that analysis to date suggests would best serve the needs of the United States if one were created. Those principles are that a potential CBDC should be privacy-protected, so consumer data and privacy are safeguarded; intermediated, such that financial intermediaries rather than the Federal Reserve interface directly with consumers; widely transferable, so the payment system is not fragmented; and identity-verified, so law enforcement can continue to combat money laundering and funding of terrorism. Given the Federal Reserve's mandate to promote financial stability, any consideration of a CBDC must include a robust evaluation of its impact on the stability of the financial system--not only as it exists today but also as it may evolve in the future. In consideration of the financial system today, it would be important to explore design features that would ensure complementarity with established financial intermediation. A CBDC--depending on its features--could be attractive as a store of value and means of payment to the extent it is seen as the safest form of money. This could make it attractive to risk-averse users, perhaps leading to increased demand for the CBDC at the  expense of other intermediaries during times of stress. So it is important to undertake research regarding the tools and design features that could be introduced to limit such risks, such as offering a non-interest bearing CBDC and limiting the amount of CBDC an end user could hold or transfer. As I noted at the start, the digital asset and payment ecosystem is evolving at a rapid pace. Thus, it is also important to contemplate the potential role of a CBDC to promote financial stability in a future financial system in which a growing range of consumer payment and financial transactions would be conducted via digital currencies such as stablecoins. If current trends continue, the stablecoin market in the future could come to be dominated by just one or two issuers. Depending on the characteristics of these stablecoins, there could be large shifts in desired holdings between these stablecoins and deposits, leading to large-scale redemptions by risk-averse users at times of stress that could prove disruptive to financial stability. In such a future state, the coexistence of CBDC alongside stablecoins and commercial bank money could prove complementary, by providing a safe central bank liability in the digital financial ecosystem, much like cash currently coexists with commercial bank money. It is essential that policymakers, including the Federal Reserve, plan for the future of the payment system and consider the full range of possible options to bring forward the potential benefits of new technologies, while safeguarding stability. Analysis of the potential future state of the financial system is not limited to the domestic implications. The dollar is important to global financial markets: It is not only  the predominant global reserve currency, but the dollar is also the most widely used currency in international payments. Decisions by other major jurisdictions to issue CBDCs could bring important changes to global financial markets that may prove more or less disruptive and that could influence the potential risks and benefits of a U.S. CBDC. Thus, it is wise to consider what the future states of global financial markets and transactions would look like both with and without a Federal Reserve-issued CBDC. For example, the People's Bank of China has been piloting the digital yuan, also known as e-CNY, in numerous Chinese cities over the past two years. The substantial early progress on the digital yuan may have implications for the evolution of cross-border payments and payment systems. And it may influence the development of norms and standards for cross-border digital financial transactions. It is prudent to consider how the potential absence or issuance of a U.S. CBDC could affect the use of the dollar in payments globally in future states where one or more major foreign currencies are issued in CBDC form. A U.S. CBDC may be one potential way to ensure that people around the world who use the dollar can continue to rely on the strength and safety of U.S. currency to transact and conduct business in the digital financial system. More broadly, it is important to consider how the United States can  continue to play a lead role in the development of standards governing international digital financial transactions involving CBDCs consistent with norms such as privacy and security. Given the dollar's important role as a payment instrument across the world, it is essential that the United States be on the frontier of research and policy development regarding CBDC, as international developments related to CBDC can have implications for the global financial system. Given the range of possible future states with significant digitization of the financial system, it is important that the Federal Reserve is actively engaging with the underlying technologies. Our work to build 24x7x365 instant payments rails leverages lessons from some of today's most resilient, high-performing, and large-scale technology platforms across the globe. It is providing important insights on the clearing and settlement models associated with real time payments as well as on fraud, cyber resilience, cloud computing, and related technologies. In parallel with the Board's public consultation on CBDC, the Federal Reserve Bank of Boston, in collaboration with the Massachusetts Institute of Technology, has developed a theoretical high-performance transaction processor for CBDC. recently published the resulting software under an open-source license as a way of engaging with the broader technical community and promoting transparency and verifiability.  Moreover, the Board is studying how innovations, such as distributed ledger technology, could improve the financial system. This work includes experimentation with stablecoin interoperability and testing of retail payments across multiple distributed payment ledger systems. The Federal Reserve Bank of New York recently established an Innovation Center, focused on validating, designing, building, and launching new financial technology products and services for the central bank community. These technology research and development initiatives are vital to our responsibilities to promote a safe and efficient payment system and financial stability, whatever the future may bring. The financial system is not standing still, and neither can we. The digital financial ecosystem is evolving rapidly and becoming increasingly connected with the traditional financial system. It is prudent for the Board to understand the evolving payment landscape, the technological advancements and consumer demands driving this evolution, and the consequent policy choices as it seeks to fulfill its congressionally- mandated role to promote a safe, efficient, and inclusive system for U.S. dollar transactions. To prepare for the financial system of the future, the Federal Reserve is engaging in research and experimentation with these new technologies and consulting closely with public and private sector partners."
r220221a_FOMC,united states,21/2/22,High Inflation and the Outlook for Monetary Policy,bowman,0,"Before we get to our conversation on community banking, I would like to briefly discuss my outlook for the U.S. economy and my view of appropriate monetary policy. As I see it, the main challenge for monetary policy now is to bring inflation down without harming the ongoing economic expansion. Inflation is much too high. Last year I noted that inflationary pressures associated with strong demand and constrained supply could take longer to subside than many expected. Since then, those problems have persisted and inflation has broadened, reaching the highest rate that Americans have faced in forty years. High inflation is a heavy burden for all Americans, but especially for those with limited means who are forced to pay more for everyday items, delay purchases, or put off saving for the future. I intend to support prompt and decisive action to lower inflation, and today I will explain how the Fed is pursuing this goal. In the near term, I expect that uncomfortably high inflation will persist at least through the first half of 2022. We may see signs of inflation easing in the second half of the year, but there is a substantial risk that high inflation could persist. In January, the Consumer Price Index rose to a 12-month rate of 7.5 percent, which, consistent with other recent monthly readings, was even higher than expected. Employment costs for businesses, as measured by average hourly wages, also rose last month. And continued tightness in the labor market indicates that upward pressure on wages and other employment compensation is not likely to moderate soon. My base case is that inflation will moderate later this year, which will depend, in  wage growth lagging behind inflation for the past year, many families may find it challenging to make ends meet and continued rising home prices will likely prevent many from entering the housing market. In addition, rising costs and hiring difficulties continue to be burdens for small businesses. Turning to the labor market, which continues to tighten, indications are that the Omicron infection surge earlier this year has not left a negative imprint on the economy or slowed job creation. I expect to see continued strength in the job market this year, with further gains in employment, and my hope is that more Americans return to the labor force and find work. The strength in job creation is a big positive for those seeking employment and for their families. Even with the improving labor market, I still hear from businesses that qualified workers are difficult to find, and labor shortages remain a drag on hiring and on economic growth. Now let me turn to the implications of this outlook for monetary policy. In my view, conditions in the labor market have been and are currently consistent with the FOMC's goal of maximum employment, and as such, my focus has been on the persistently high inflation. In part, the high inflation reflects supply chain disruptions associated with the economic effects of the pandemic and efforts made to contain it. Unfortunately, monetary policy isn't well-suited to address supply issues. But strong demand and a very tight labor market have also contributed to inflation pressures, and the FOMC can help alleviate those pressures by removing the extraordinary monetary policy accommodation that is no longer needed. In our most recent monetary policy statement--which was released following our January meeting--we indicated that ""with inflation well above 2 percent and a strong  labor market,"" we expected that it would ""soon be appropriate to raise the target range for the federal funds rate."" I fully supported that assessment, and the data we have seen since then have only increased the urgency to get on with the process of normalizing our interest rate stance and significantly reducing the size of the Federal Reserve's balance sheet. I support raising the federal funds rate at our next meeting in March and, if the economy evolves as I expect, additional rate increases will be appropriate in the coming months. I will be watching the data closely to judge the appropriate size of an increase at the March meeting. In early March, the FOMC will finally stop expanding the Federal Reserve's balance sheet. The resulting end of our pandemic asset purchases will remove another source of unneeded stimulus for the economy. In the coming months, we need to take the next step, which is to begin reducing the Fed's balance sheet by ceasing the reinvestment of maturing securities already held in the portfolio. Returning the balance sheet to an appropriate and manageable level will be an important additional step toward addressing high inflation. I expect that these steps will contribute to an easing in inflation pressures in the coming months, but further steps will likely be needed this year to tighten monetary policy. Looking beyond this spring, my views on the appropriate pace of interest rate increases and balance sheet reduction for this year and beyond will depend on how the economy evolves. I will be particularly focused on how much progress we make on bringing down inflation. My intent would be to take forceful action to help reduce  inflation, bringing it back toward our 2 percent goal, while keeping the economy on track to continue creating jobs and economic opportunity for Americans. I appreciate the opportunity to share my views on monetary policy with you this morning. But since we are here to talk about community banking, let's get back to that important topic. Certainly prior to, but especially over the course of the pandemic, we have seen a heightened focus and urgency in incorporating technology and innovation into community banking. The adoption of technology and innovation is really at the heart of the major issues facing community banks. We see banks, fintech companies, and tech firms exploring various technologies to enhance their payments systems, expand consumer access, improve back-office operations, and create new financial products and services. This interest and the increasing interest in crypto- and digital assets have created a need to work together with the other federal banking agencies to give the industry better and more useful regulatory feedback as banks consider approaches to integrating crypto- and digital asset related activities into their service offerings. Given the popularity of these types of assets, and the growing interest of banks in participating in the market, it's increasingly necessary for regulators to be able to engage with the industry on these issues. Evolving financial services, a sharper focus on efficiency and timeliness in the industry, and the rapid increase in technology advances have also led the Federal Reserve to explore the potential benefits and risks of a central bank digital currency (CBDC). We recently issued a discussion paper as a first step in fostering a broad and transparent  public dialogue about CBDCs. The paper is not intended to advance any specific policy outcome and no decisions have been made at this time. We are genuinely committed to hearing a wide range of voices on this issue. The paper was published earlier this year with a 120-day comment period. We encourage your comments and feedback-- generally, and in response to specific questions posed in the paper. As we engage in this dialogue and evaluation process, and throughout this initiative, I intend to keep an open mind about the usefulness of and potential business case for a CBDC. I strongly encourage community bankers and all of the other stakeholders who would be impacted by the creation of a CBDC to submit your comments and views to the Fed by May 20, the end of the scheduled public comment period. Another area of intense interest is the expansion of financial activities beyond the traditional chartered banking institution construct. We are seeing an increase in the proposal of novel charter types under consideration across the country. These changes, and the coming availability of the Fed Now instant payment service, have the potential to vastly change the landscape of financial services and opportunities in the market. In anticipation of this evolution, our Federal Reserve Banks are receiving an increased number of requests for membership and access to Reserve Bank master accounts from institutions with these novel charters. Recognizing the importance of clarity and transparency in this space, and to facilitate and evaluate these activities in a consistent  manner, the Board is in the process of issuing clearer guidance around the application and review process for novel bank charters and account access at the Federal Reserve. I look forward to discussing these and other issues with you in just a few minutes, so I will stop there. It's such a pleasure to be in person with you again at the ABA's Conference for Community Banks, and I am looking forward to our conversation."
r220224a_FOMC,united states,24/2/22,Fighting Inflation with Rate Hikes and Balance Sheet Reduction,waller,0,"Thank you Peter, and thank you to the UCSB Economic Forecast Project for the invitation to speak today. My plan is to start with my outlook for the U.S. economy in 2022, and then describe what I consider the appropriate path of monetary policy to keep the economy on a healthy and sustainable course. But, before I get into that discussion, let me comment on what I think is on everyone's minds today, Russia's attack on Ukraine. Obviously, there are people in harm's way and we shouldn't lose sight of them. It is far too early to judge how this conflict will affect the world, or the world economy, and what the implications will be for the U.S. economy. But this situation adds uncertainty to my outlook and will be something I will be monitoring very closely. As my speech will say, we will need to carefully look at the incoming data, especially during a time of heightened uncertainty. Turning to my outlook for the economy, my greatest concern is continued elevated inflation. Inflation is too high, and I think concerted action is needed to rein it policy, and I will go into some detail about how I believe the Fed should approach increasing the target range for the federal funds rate and reducing the size of the balance sheet. But let me start with the outlook for economic activity. I expect the economy to continue expanding at a healthy rate this year, slower than in 2021 but still at a solid pace that will keep employment growing strongly. While there are some signs that the effects of the Omicron variant have dampened economic growth in the last month or two, it does not appear to have affected hiring, given the healthy jobs report for January. Even  COVID-sensitive sectors such as leisure and hospitality saw big job gains last month. With COVID cases dropping sharply, I expect this latest surge in infections will not be a major factor affecting the economy in 2022. Supply bottlenecks and labor shortages, some of them related to the pandemic, continue to weigh on economic output, but I expect those to diminish later this year. The combination of strong consumer demand and supply constraints has produced very high inflation. The consumer price index (CPI) was up 7.5 percent for the 12 months through January, the highest yearly rate in 40 years. With appropriate monetary policy, and the expected easing in supply constraints, I am hopeful inflation will move down over the course of this year, even with the recent geopolitical developments. Nevertheless, the path of inflation is the biggest risk to my outlook. As we move through this year, I can't emphasize enough how much this outlook, and the appropriate stance of monetary policy, will be influenced by the data that we see about the performance of the economy. I know, I know. Saying you need to be data dependent is like saying you are for motherhood and apple pie--who would disagree? But in the current situation, it is urgently important to be data dependent. For example, like most people, I expected the Omicron surge would hammer job creation in January, but the data showed that this didn't happen. The ups and downs in forecasts during the pandemic should be evidence enough that policy decisions this year, more than ever, will need to be guided by the data, and not by what past experience suggests should happen.  Missouri, which is home for me, is the Show Me State, so if you want to know how my outlook will evolve, show me the data. With that in hand, I will evaluate the outlook with respect to the Fed's dual mandate in determining the appropriate setting for monetary policy. Let's start with where the economy stands with respect to maximum employment. In December, I said that we were ""closing in"" on this objective. Since then, the labor market has continued to strengthen. I now believe we have achieved the FOMC's objective of maximum employment. So, what has changed and made me more certain about that? A big factor was the jobs report for January, which included very strong data for that month, upward revisions for November and December, and revisions for all of 2021. What we learned from those changes was that a reported slowdown in job creation in the second half of the year never happened, and that in fact job creation was remarkably steady throughout the year, averaging 555,000 a month and never deviating very far from that trend. These revisions helped explain why we saw such large and steady declines over the year in the unemployment rate, which fell from 6.4 percent in January 2021 to 4 percent in January 2022, which happens to be the median of FOMC participants' December estimates of the longer-run unemployment rate. Accounting for retirees leaving the workforce, I estimate that employment is close to the levels of February 2020, right before the pandemic shock hit the economy and when the target range for the federal funds rate was much higher than the current target range.  The January job numbers were just one monthly report, but one reason I have the confidence to declare that maximum employment has been reached is the message January sent about the durability of the continuing recovery. Based on recent data, including a big increase in retail sales in January, it sure looks like a very significant surge in COVID has failed to derail or even appreciably slow the economy. It has been hazardous to predict much about the economic effects of the pandemic more than a month or two out, but I'm comfortable saying we are at maximum employment in part because of the evidence that the labor market is continuing to strengthen. Another message from the January report, including the revisions to each month of 2021, is that, so far at least, labor shortages do not seem to be having a huge effect on the economy's capacity to create jobs. Job creation didn't slow appreciably in November and December as originally reported; it actually was higher than the average for the rest of the year. Labor force participation isn't growing as much as one would expect with the hot job market, but apparently it's growing enough to keep the job creation machine humming. Another factor that signals we are at maximum employment is the continued rise in measures of labor compensation. The broadest measure of labor compensation, covering wages and benefits, is the employment cost index, which for private sector workers rose at a 4.7 percent annual rate in October, November and December, the fastest pace in 20 years. Average hourly earnings also continue to grow more strongly than they have in decades, and the gains are widespread across sectors. Job vacancies also indicate labor demand is exceptionally strong with nearly 3 million more vacancies than individuals looking for work.  While I will continue to watch data on the labor market, I am focusing most of my attention on inflation, which is far too high and needs to come down. In December, some people were a little surprised to hear me say that inflation was ""alarmingly high,"" but after the latest inflation numbers, I think we all should be alarmed. It is alarming because high inflation is especially painful for lower- and middle-income people, who don't have a choice about paying more for gasoline, groceries, shelter, and other necessities. It is alarming because of the risk that high inflation could become ingrained in people's expectations and prove difficult to rein in, undermining economic growth. The 7.5 percent increase in the CPI in January came after a 7.1 percent increase in consecutive month that inflation exceeded 2 percent. The FOMC targets another measure of inflation, the price deflator for personal consumption expenditures (PCE), which will be reported tomorrow. But for both measures, inflation has been increasingly broad-based for quite some time. For the CPI, better than 70 percent of items measured are up 3 percent or more in the last 12 months, and for PCE inflation, 60 percent of items were up that much in December. High inflation is a significant problem for individuals and families, and it makes it difficult for businesses to control costs and adjust prices. There is also the risk that the public's expectations of future inflation rise significantly, which affects spending decisions in the short term and thus can have the effect of driving inflation even higher. Keeping longer-term inflation expectations anchored is vitally important for monetary Strategy emphasizes that longer-term inflation expectations that are well anchored at 2  percent foster price stability and enhance the Committee's ability to promote maximum employment in the face of significant economic disturbances. Surveys of consumers' expected inflation over the next year moved up quite notably through 2021 and are currently elevated. And the public's expectations of inflation over the next five years have risen as well. That said, five-year inflation expectations are where they were over the past couple of decades when inflation stayed low. Importantly, longer-term expectations are much more stable. For example, future inflation measured by investors trading inflation-adjusted securities has 5-to10-year implied compensation around 2.2 percent, which, adjusted for the FOMC's preferred measure, PCE, is close to 2 percent. In the same way that expectations of much higher inflation can drive a cycle of ever-increasing inflation, when expectations are ""anchored"" and don't move significantly, it can have the effect of helping moderate surges in inflation, such as the one we have seen over the past year. As for what inflation does next, I think anyone who makes a forecast has to own the fact that very few of us foresaw how much inflation would increase in 2021. We underestimated the extent to which supply constraints--from bottlenecks to labor supply shortages--and strong demand would drive up inflation, and we thought bottlenecks and shortages would begin to resolve sooner than now. I think we have a clearer idea today of the effect of those factors on inflation but going forward we need see how geopolitical effects influence energy, commodity, and other prices. With some humility, while I am alarmed about the level of inflation and a bit uncertain about how the near-term may play out, I am hopeful that these factors and their price effects are likely to ease in the second  half of 2022 and that with appropriate monetary policy, inflation will be coming down significantly by year end. I will be watching closely the data on supply pressures and how those feed into total consumer prices, and I'll be monitoring carefully to see whether expectations rise out of a range that would suggest they are becoming unanchored. As I said earlier, it is too soon to know how Russia's attack on Ukraine will affect the U.S. economy, and it may not be much easier by the time of our March meeting. Now let me spell out what my outlook implies for appropriate monetary policy over the course of 2022. Based on the inflation data in hand, I believe the Fed needs to act promptly to begin tightening monetary policy. As I said earlier, I believe that we have achieved our employment goal and that the labor market will keep improving, which means there should be no delay in responding to inflation that is significantly above our target. The FOMC has already taken actions to end asset purchases in early March, and I believe that the recent inflation and jobs reports have made the case to begin raising the target range for the federal funds rate at our March FOMC meeting. Based on my outlook, my preference is to increase the target range 100 basis points by the middle of this year. That is, I expect inflation to remain elevated and only show modest signs of deceleration over the next several months. As a result, I believe appropriate interest rate policy brings the target range up to 1 to 1.25 percent early in the summer. That would be a bit below where rates were at the outbreak of the pandemic,  when inflation was considerably lower, and before we more than doubled the Fed's balance sheet, so I consider this a necessary and prudent start to tightening policy. The pace of tightening will depend on the data. One possibility is that the target range is raised 25 basis points at each of our next four meetings. But if, for example, tomorrow's PCE inflation report for January, and jobs and CPI reports for February indicate that the economy is still running exceedingly hot, a strong case can be made for a 50-basis-point hike in March. In this state of the world, front-loading a 50-point hike would help convey the Committee's determination to address high inflation, about which there should be no question. Of course, it is possible that the state of the world will be different in the wake of the Ukraine attack, and that may mean that a more modest tightening is appropriate, but that remains to be seen. With the economy at full employment and inflation far above target, we should signal that we are moving back to neutral at a fast pace based on the performance of the economy, and a 50-basis point hike would help do that. Consequently, should the data break against us in the coming weeks, we need to be prepared to hike the policy rate by 50-basis points. No matter the near-term path of reducing accommodation, the FOMC must respond decisively to the data so as to maintain our credibility that we will bring down inflation. We constantly say we have the tools to fight inflation, and now we must demonstrate the will to use them. While I believe that we should raise the target range by 1 percentage point over the next several months, I will be assessing the incoming data to decide whether further rate increases in 2022 are warranted and, if so, at what pace they should be implemented. If high inflation persists, then I would most likely support that we continue hiking, and  potentially increase the pace of tightening. If inflation moderates in the second half of the year, as I expect, and as market participants expect, then we can slow the pace of tightening or even pause. As I said earlier--show me the data. Turning to balance sheet policy, as I noted, the Committee has decided to end asset purchases in early March. Initially, we will be keeping the size of the Fed's balance sheet constant by reinvesting the proceeds of maturing securities. The FOMC has not decided when to begin the reduction in the size of the balance sheet, but we issued a set of principles last month that make it clear that changing the target range of the federal funds rate is our principal monetary policy tool, and that balance sheet reductions through the ""runoff"" from maturing securities would commence after rate hikes have begun. I support starting this process no later than the July FOMC meeting. The pace of the reduction in asset holdings has not been determined but will be consistent with promoting the FOMC's employment and inflation goals and will be communicated well in advance to the public so that the plan is predictable. The last time we reduced our balance sheet we did the following: First, we waited two years after our first-rate hike before commencing balance sheet runoff. Second, we imposed monthly caps on the amount of maturing securities that we would let run off. These caps started out very low and were gradually lifted over a period of 12 months. So, why not follow the same strategy this time? First, back in 2017 and 2018 we had never intentionally reduced our balance sheet before. This was new territory for the Fed, so we went slow. Second, the Committee was considering moving to an ample reserves regime for conducting monetary policy, where we wanted to keep the banking system flush with reserves. Thus, we had no idea  how far we could let reserves fall before we might cause an unwelcome shortage of reserves. Third, the economy was in a much different place; in particular inflation was much lower. Finally, we only expected to run off about $2 trillion of securities from our balance sheet. In that environment it made sense to go slow and gradual in terms of balance sheet reduction. Fast forward to today. This is now the second time we have done balance sheet reduction and we learned from experience and can go faster than before. Policymakers and markets have a good understanding now of how the process works. In terms of the appropriate size of the caps, I believe they can be larger than last time for several reasons. First, we have a very large balance sheet--securities holdings have increased $4.5 trillion since the start of the pandemic and the balance sheet is nearly $9 trillion. So even with a hefty reduction in holdings over the next year, we will still have a balance sheet that will be more than sufficiently large enough to conduct monetary policy. Second, the Fed's overnight reverse repurchase agreement facility, put in place to help conduct monetary policy, receives a large amount of deposits each day. The daily average take-up of $1.6 trillion so far in 2022 tells me that there is tremendous excess liquidity in financial markets. Large redemption caps will assist in removing this excess liquidity. Third, we have learned a lot about operating in an ample reserves regime over the past decade. And we learned lessons from the 2019 experience in reducing reserves. In the first quarter of 2019 the ratio of reserves to nominal gross domestic product (GDP) was approximately 8 percent and financial markets worked well and banks were flush with liquidity. Right now, reserves are far more than ample, standing at 17 percent of GDP. When evidence suggests that we are getting closer to a more appropriate and  sustainable level of reserves, we can slow the pace of redemptions. Finally, we have the newly established standing repurchase facility, which acts as a backstop to buffer any unexpected liquidity needs. This facility can help assist us with any unexpected bumps along the way. With large caps and sizable amounts of securities maturing over the course of the next year or two, I do not see the need to consider asset sales anytime soon. However, because the Fed's mortgage-backed securities (MBS) holdings have long maturities and are quite sizable, prepayments are unlikely to bring these holdings down to de minimis levels over the next decade. So, MBS sales could be something the Committee considers down the road to satisfy our balance sheet principles long run goal of holding primarily Treasury securities. But that is a conversation for another day. In the meantime, I would support having no caps on MBS redemptions so our MBS holdings decline as fast as prepayments allow, which would modestly assist in moving us toward an all-Treasury portfolio. Thinking about possible monetary policy actions in 2022, I expect it will be a very fluid year. The Chair has said we will be nimble. I believe nimble describes how we acted in 2021 as well, when nimbleness and good communications served the FOMC well. Think back to the middle of 2021. Just last June, markets expected tapering to begin sometime in 2022, the majority of FOMC participants called for liftoff in 2023, and primary dealers surveyed in July by the Federal Reserve Bank of New York predicted a decline in the balance sheet wouldn't start until the middle of 2025. Wow, how things have changed.  Over the course of the second half of last year, market expectations of the taper's beginning quickly moved to November, and then a month after it started, markets predicted it would be completed this March. Soon after, markets were pricing liftoff in March, with several rate hikes over the course of 2022. And now markets are also focused on the start of the decline in the balance sheet sometime this year. It is interesting to note that these dramatic changes in actual and anticipated monetary policy have occurred without volatility or strain in financial markets. I believe the FOMC has been highly effective in communicating its shifting outlook for the economy and appropriate policy actions as the data revealed that inflation was increasing much more than forecasters expected. Another point to make about the big changes in actual and anticipated monetary policy is that they are showing up in the financial data today. Financial conditions are tighter, I believe, because of the credible, forward guidance policymakers have communicated to the public. Although the Fed hasn't started raising rates or reducing the balance sheet, interest rates have moved up notably. For example, the 2-year Treasury yield is more than 1 percentage point higher today than at the start of the third quarter of last year. The 10-year Treasury yield is up 1/2 percentage point, and the 30-year fixed mortgage rate is up about 1 percentage point over this period. Going forward, policymakers will adjust policy as needed, which will reinforce the Fed's credibility. Let me conclude by saying I hope my remarks today contribute to the Fed's effective and credible communications. One message you should take away is that the course of policy is not pre-set, and the course I favor will be determined by my interpretation of new data. In the past couple months, inflation and employment data  have been sending the same, unequivocal message--it is time to start tightening monetary policy. We need to take the first step in March to get off the effective lower bound. Then we should continue with hikes as well as begin to reduce our balance sheet. I will continue to monitor the geopolitical situation to assess the appropriate timing of this near-term monetary policy tightening. These actions will get us into the second half of the year, when we will have six months of inflation data, and we can assess what the appropriate path will be for the rest of 2022. Our goal is a soft landing for the economy that keeps output and employment growing at a healthy pace and inflation moving toward the FOMC's 2 percent objective."
