pub_date,headline,abstract,lead_paragraph
2023-04-03,Republicans Can’t Agree on a Path Out of Their Own Debt Crisis,House Republicans have become so factionalized that their leaders cannot speak in one voice.,"It’s been obvious for months that Republicans in the House of Representatives intend to lead the country toward a calamitous debt ceiling crisis in order to get their way on spending. Only in the last few weeks, however, has it become clear just how truly chaotic that process will be."
2023-04-06,"Staring Down a Debt Crisis, McCarthy Toils to Navigate G.O.P. Divisions",The House speaker has little trust in his Budget Committee chairman or his No. 2 as he works to unite the fractious Republican majority around a spending plan.,"WASHINGTON — It was midway through Representative Kevin McCarthy’s drawn-out battle for the House speakership when Representative Jodey C. Arrington of Texas, one of his public supporters, began quietly approaching colleagues to see whether they would be open to backing his No. 2, Representative Steve Scalise of Louisiana, instead."
2023-04-07,Can Congress Make an End-Run Around a Debt Limit Impasse? It’s Tricky.,Some Democrats are urging their colleagues to lay the groundwork for using an arcane procedural process to bypass Republicans and stave off economic peril.,"WASHINGTON — Call it an escape valve, an off-ramp or a break-glass-in-case-of-emergency option."
2023-04-17,McCarthy Proposes One-Year Debt Ceiling Increase Tied to Spending Cuts,"Clashing with President Biden, who has called for raising the debt limit with no conditions, the Republican speaker went to Wall Street to pitch what he called a “responsible, sensible” solution.","WASHINGTON — Speaker Kevin McCarthy on Monday proposed a one-year debt ceiling increase paired with a set of spending cuts and policy changes, backing down substantially from earlier demands but making clear that Republicans would not raise the borrowing limit to avert a catastrophic debt default without conditions."
2023-04-18,The G.O.P.’s Fiscal Hawks Fly Far Away From Deficit Fights,"After a decade of rising deficits and soaring debt, the top White House contenders, Donald Trump and Ron DeSantis, show little interest in battling over the nation’s finances.","The first skirmish of the Republican presidential primary of 2024 broke through this weekend. It was not over a traditional theme of conservative politics, such as national defense, or more contemporary issues like immigration or “woke” social policy."
2023-04-18,A Few Ways Out of the Debt Ceiling Mess,How will we deal with a G.O.P.-inflicted crisis?,"Let’s say you took out a large mortgage to buy a house. Maybe you made the right decision, maybe you didn’t. Either way, you signed the contract. And your next monthly payment on that mortgage is due."
2023-04-18,"As Possible Debt Limit Crisis Nears, Wall Street Shrugs",Few investors have focused on the possibility that Congress will not raise the nation’s borrowing limit in time to avoid an economically catastrophic default.,"WASHINGTON — Speaker Kevin McCarthy chose the New York Stock Exchange on Monday to deliver his most detailed comments yet on House Republicans’ demands for raising the nation’s borrowing limit. But his comments made little impression on Wall Street, where investors continue to trade stocks and Treasury bonds under the assumption that Congress and President Biden will find a way to avoid a calamitous government default."
2023-04-20,What’s in the House G.O.P. Debt Limit Bill,Republicans’ proposal would cut federal spending and unravel parts of the Biden administration’s policy agenda in exchange for lifting the nation’s borrowing cap.,WASHINGTON — House Republicans unveiled a bill that would cut billions in federal spending and roll back some of President Biden’s policy priorities in exchange for lifting the debt ceiling for one year.
2023-04-21,The Debt Ceiling Debate Is About More Than Debt,Republicans’ opening bid to avert economic catastrophe by raising the nation’s borrowing limit focuses more on energy policy than reducing debt.,"WASHINGTON — Speaker Kevin McCarthy of California has repeatedly said that he and his fellow House Republicans are refusing to raise the nation’s borrowing limit, and risking economic catastrophe, to force a reckoning on America’s $31 trillion national debt."
2023-04-24,Biden Has Something He’d Like to Tell You,And it can’t wait any longer.,"Gail Collins: Well, Bret, it looks like Joe Biden will be announcing his re-election bid this week."
2023-04-24,Hillary Clinton: Republicans Are Playing Into the Hands of Putin and Xi,The former secretary of state on why the Republicans’ game with the debt ceiling is landing at a perilous time for the economy and global security.,"Speaker of the House Kevin McCarthy is making a ransom demand. His hostages are the economy and America’s credibility. Mr. McCarthy has threatened that House Republicans will refuse to raise the federal government’s debt ceiling, potentially triggering a global financial crisis, unless President Biden agrees to deep cuts to education, health care, food assistance for poor children and other services."
2023-04-25,Don’t Call It a ‘Cut’: G.O.P. Tries to Rebrand Its Plan to Reduce Spending,"House Republicans pitched their 2011 debt limit bill aggressively, trumpeting a zeal for deep spending cuts. Their latest fiscal plan tiptoes around them, with a milder slogan to match.","WASHINGTON — In 2011, as a wave of populist fervor swept through Congress, delivering a restive class of anti-spending Republicans who had no appetite for raising the debt limit, House G.O.P. leaders rallied their members around a bill with a blunt, snappy slogan: “Cut, Cap and Balance.”"
2023-04-26,"House G.O.P. Passes Debt Limit Bill, Paving the Way for a Clash With Biden",House Republicans narrowly passed a bill to raise the debt ceiling while cutting spending by nearly 14 percent over a decade. President Biden has vowed to veto the measure.,"WASHINGTON — The House on Wednesday narrowly passed Republicans’ bill to raise the debt ceiling while cutting spending and unraveling major elements of President Biden’s domestic agenda, in a G.O.P. bid to force Mr. Biden to negotiate over spending reductions or risk a catastrophic debt default."
2023-04-26,House Republicans Pass Debt Ceiling Bill,"The Republican bill, which would raise the debt limit and cut spending, appears to have no chance of approval in the Democratic-led Senate.","The Republican bill, which would raise the debt limit and cut spending, appears to have no chance of approval in the Democratic-led Senate."
2023-04-26,Fact-Checking the Kickoff to Biden’s Re-election Campaign,"The president omitted key context when discussing the federal deficit, exaggerated his approval ratings and misstated his family history.","WASHINGTON — Since announcing his re-election bid on Tuesday, President Biden has repeated familiar boasts about his economic record and recounted folksy, personal anecdotes — and sometimes veered from the facts."
