Date,DXY Index,ADXY Index,SPX Index,LQD US Equity,LF98TRUU Index,TLT US Equity,USGG2YR Index,CCMP Index,CRB CMDT Index,EUCRBRDT Index,LOCADY Comdty,XAU Curncy,AMZN US Equity
1/4/05,84.43,104.35,1172.92,109.25,757.88,89.3,3.7251,1984.81,296.99,55.15,3409,426.25,1.701
4/4/05,84.78,103.91,1176.12,108.58,757.2,89.28,3.7168,1991.07,297.3,55.73,3385,424.25,1.75
5/4/05,84.66,104.16,1181.39,108.91,758.81,89.05,3.7167,1999.32,296.23,53.93,3358,425.35,1.764
6/4/05,84.68,104.01,1184.07,108.85,761.76,89.36,3.6754,1999.14,298.15,53.46,3395,426.7,1.741
7/4/05,84.87,104.14,1191.14,108.3,763.22,88.64,3.7166,2018.79,298.64,52.3,3435,425.9,1.745
8/4/05,84.4,104.17,1181.2,108.65,762.94,88.95,3.7412,1999.35,298.49,52.06,3435,427.1,1.73
11/4/05,84.22,104.23,1181.21,108.95,762.06,89.43,3.7162,1992.12,298.47,52.12,3473.5,428,1.73
12/4/05,84.44,104.17,1187.76,109.39,761.17,90.26,3.6829,2005.4,300.36,50.85,3497,428.2,1.732
13/4/05,84.4,104.35,1173.79,109.65,760.37,90.04,3.6495,1974.37,298.51,49.42,3406,428.9,1.715
14/4/05,85,103.88,1162.05,109.25,756.72,89.9,3.5495,1946.71,297.53,50.43,3305,424,1.699
15/4/05,84.56,103.97,1142.62,109.75,754.46,91.09,3.4902,1908.15,297.31,49.71,3330,424.9,1.651
18/4/05,84,104.05,1145.98,109.77,752.97,91.02,3.5483,1912.92,297.81,48.96,3355,427.35,1.65
19/4/05,83.76,104.3,1152.78,110.23,754.31,91.9,3.5062,1932.36,300.06,51.24,3395,434,1.639
20/4/05,83.52,104.43,1137.5,110.29,755.84,91.67,3.4807,1913.76,300.4,51.12,3466,434.6,1.663
21/4/05,83.7,104.28,1159.95,109.71,756.71,90.71,3.6228,1962.41,300.91,52.29,3385,432.57,1.687
22/4/05,83.5,104.55,1152.12,110.23,757.31,91.47,3.597,1932.19,300.8,53.26,3415,434.6,1.652
25/4/05,83.82,104.52,1162.1,110.5,756.89,91.74,3.6304,1950.78,301.29,52.89,3365.5,434.7,1.677
26/4/05,83.96,104.44,1151.74,110.32,755.1,91.6,3.6472,1927.44,301.63,52.64,3413,437.1,1.636
27/4/05,84.12,104.54,1156.38,110.86,752.35,91.92,3.6131,1930.43,300.67,50.49,3375.5,432.47,1.586
28/4/05,84.35,104.47,1143.22,111.32,750.62,92.6,3.5594,1904.18,300.4,51.62,3337,431.4,1.626
29/4/05,84.43,104.94,1156.85,110.92,749.55,92.44,3.6495,1921.65,302.08,49.33,3348.5,434.4,1.618
2/5/05,84.49,104.68,1162.16,110.53,750.89,92.09,3.6249,1928.65,301.97,49.93,3348.5,429.8,1.655
3/5/05,84.51,104.7,1161.17,110.59,751.17,92.34,3.633,1933.07,300.12,49.11,3315,427.9,1.661
4/5/05,84,104.88,1175.65,110.34,753.09,91.53,3.6083,1962.23,299.46,49.53,3295,429.8,1.698
5/5/05,83.94,104.91,1172.63,110.5,753.81,91.74,3.5425,1961.8,298.8,50.36,3294,430.4,1.698
6/5/05,84.62,104.81,1171.35,109.9,751.66,91.06,3.7156,1967.35,299.19,49.74,3370,426.2,1.726
9/5/05,84.64,104.6,1178.84,109.52,752.01,91.15,3.7489,1979.67,299.14,50.37,3355.5,426.1,1.732
10/5/05,84.45,104.72,1166.22,109.5,751.42,91.8,3.666,1962.77,299.31,50.65,3341,426.6,1.711
11/5/05,84.89,104.79,1171.11,109.6,748.98,92.08,3.6743,1971.55,298.68,48.7,3332,427.4,1.691
12/5/05,85.49,104.44,1159.36,109.25,748.08,92.44,3.6411,1963.88,297.59,47.49,3285,422.4,1.693
13/5/05,86.1,104.42,1154.05,109.86,745.87,92.8,3.5826,1976.78,296.73,47.33,3192,420.4,1.695
16/5/05,86.12,104.31,1165.69,109.69,742.72,92.69,3.5909,1994.43,296.9,47.02,3165,419.75,1.727
17/5/05,86.21,104.32,1173.8,109.75,740.18,92.95,3.5908,2004.15,297.36,47.74,3113,418.75,1.737
18/5/05,85.77,104.68,1185.56,110.14,742.87,93.57,3.5823,2030.65,297.52,46.69,3169,421.75,1.767
19/5/05,86.09,104.41,1191.08,109.98,746.2,93.33,3.6325,2042.58,295.31,46.74,3186.5,420.6,1.78
20/5/05,86.63,104.21,1189.28,109.95,747.76,93.44,3.6577,2046.42,295.4,46.99,3195,417.65,1.775
23/5/05,86.4,104.33,1193.86,110.41,751.14,94.17,3.6156,2056.65,296.61,47.06,3165,417.55,1.784
24/5/05,86.37,104.52,1194.07,110.65,753.16,94.43,3.5902,2061.62,296.27,48.14,3249,418.35,1.777
25/5/05,86.35,104.43,1190.01,110.64,756.6,93.77,3.5986,2050.12,296.28,48.69,3248,419.55,1.763
26/5/05,86.85,104.34,1197.63,110.71,759.09,93.74,3.6225,2071.24,297.23,49.03,3234,417.8,1.773
27/5/05,86.42,104.35,1198.78,110.7,760.52,93.84,3.6389,2075.73,296.09,49.65,3264,420.45,1.775
30/5/05,86.94,104.33,1198.78,110.7,760.52,93.84,3.639,2075.73,296.09,49.87,3264,418.55,1.775
31/5/05,87.76,104.04,1191.5,111.18,762.86,95,3.5736,2068.22,296.45,49.83,3214,417.25,1.775
1/6/05,88.11,103.68,1202.27,111.51,766.84,95.81,3.4754,2087.86,296.81,51.93,3202,415.4,1.832
2/6/05,87.75,103.87,1204.29,111.94,772.08,96.04,3.5244,2097.8,295.8,50.84,3307,421.8,1.82
3/6/05,88.04,104.08,1196.02,111.35,773.32,95.25,3.5573,2071.43,297.51,52.77,3480,422.45,1.78
6/6/05,87.6,104.24,1197.51,111.66,771.62,95.75,3.5739,2075.76,296.97,52.41,3500,425.95,1.789
7/6/05,87.49,104.27,1197.26,111.89,772.94,96.51,3.5574,2067.16,296.38,51.86,3530,424.75,1.768
8/6/05,87.88,104.16,1194.67,111.66,772.06,96.05,3.5988,2060.18,295.58,50,3442,423.15,1.741
9/6/05,88.07,104.1,1200.93,111.45,770.58,95.97,3.6155,2076.91,295.23,52.39,3439,423.7,1.76
10/6/05,88.69,103.92,1198.11,110.95,771.15,94.89,3.6908,2063,295.79,51.58,3508,427.05,1.748
13/6/05,88.95,103.63,1200.82,110.69,771.39,94.32,3.691,2068.96,296.68,53.54,3504.5,428.9,1.743
14/6/05,89.3,103.73,1203.91,110.57,772.4,93.7,3.6828,2069.04,297.09,52.94,3516,426.85,1.752
15/6/05,88.62,103.87,1206.58,110.36,773.37,93.87,3.7082,2074.92,300.44,53.19,3513,428.9,1.762
16/6/05,88.64,103.74,1210.96,110.47,773.35,94.34,3.6665,2089.15,300.71,54.65,3564,435.65,1.779
17/6/05,87.65,103.95,1216.96,110.45,773.84,94.33,3.7007,2090.11,301.66,56.88,3670,437.65,1.766
20/6/05,88.49,103.73,1216.1,110.32,773.52,94.17,3.7094,2088.13,302.83,57.23,3637,437.9,1.785
21/6/05,88.12,103.96,1213.61,110.69,774.97,94.86,3.6843,2091.07,301.26,56.53,3615,438.6,1.769
22/6/05,88.56,103.85,1213.88,111.48,775.58,96.01,3.6002,2092.03,301.25,56.13,3562,438.15,1.761
23/6/05,89.12,103.85,1200.73,111.55,774.91,95.91,3.6087,2070.66,300.22,57.1,3505,441.3,1.772
24/6/05,88.78,103.77,1191.57,111.83,774.34,96.39,3.5751,2053.27,301.76,57.74,3670,439.95,1.751
27/6/05,88.45,103.77,1190.69,111.99,774.04,96.65,3.5752,2045.2,300.3,58.47,3625,439.8,1.725
28/6/05,88.99,103.43,1201.57,111.64,775.84,95.99,3.6433,2069.89,296.44,56.56,3578.5,435.55,1.686
29/6/05,89.11,103.19,1199.85,111.7,776.64,95.84,3.652,2068.89,296.83,55.18,3564.5,437.25,1.668
30/6/05,89.09,103.08,1191.33,112.1,777.83,96.7,3.6331,2056.96,294.15,54.85,3597,435.5,1.655
1/7/05,90.13,102.96,1194.44,111.16,778.55,95.2,3.7401,2057.37,294.19,57.07,3510.5,427.4,1.645
4/7/05,90.46,102.76,1194.44,111.16,778.55,95.2,3.7319,2057.37,294.19,57.17,3444,427.9,1.645
5/7/05,90.44,102.52,1204.99,110.8,778.47,94.3,3.7816,2078.75,296.4,57.76,3453,423.6,1.704
6/7/05,90.38,102.54,1194.94,111.04,778.32,94.82,3.7651,2068.65,295.93,58.81,3527,423.76,1.703
7/7/05,90.28,102.37,1197.87,111.33,778.7,95.02,3.7156,2075.66,295.72,58.18,3510,424.2,1.698
