Date,DXY Index,ADXY Index,SPX Index,LQD US Equity,LF98TRUU Index,TLT US Equity,USGG2YR Index,CCMP Index,CRB CMDT Index,EUCRBRDT Index,LOCADY Comdty,XAU Curncy,AMZN US Equity
2/1/08,75.972,107.691,1447.16,106.08,900.72,94.38,2.876,2609.63,416.1,95.34,6666,857.5,4.813
3/1/08,75.889,107.87,1447.16,105.73,898.15,94.25,2.8107,2602.68,417.7,96.665,6765,864.9,4.76
4/1/08,75.793,107.8918,1411.63,106.6,894.14,94.27,2.744,2504.65,419.75,95.88,6990.5,859.6,4.44
7/1/08,76.174,107.8506,1416.18,106.47,891.35,94.68,2.7432,2499.46,418,93.3,6915.5,858.1,4.441
8/1/08,76.111,107.9895,1390.19,106.27,889.26,94.57,2.6775,2440.51,418.16,95.42,7106,878,4.394
9/1/08,76.419,108.0724,1409.13,106.05,882.12,94.75,2.7174,2474.55,418.3,95.8,7351,878.8,4.261
10/1/08,75.934,108.024,1420.33,105.7379,883.58,93.47,2.6922,2488.52,416.83,91.99,7120.5,893.3,4.213
11/1/08,75.978,108.0974,1401.02,106.51,885.25,94.2,2.5511,2439.94,418.09,91.1,7196,895.4,4.054
14/1/08,75.613,108.2286,1416.25,106.07,886.03,94.55,2.5502,2478.3,420.2,91.65,7361,904,4.144
15/1/08,75.574,108.3578,1380.95,106.64,886.17,95.61,2.4757,2417.59,418.32,90.02,7225.5,887.9,4.012
16/1/08,76.258,108.1403,1373.2,106.48,883.36,94.92,2.4992,2394.59,417.94,87.26,7020,877,4.018
17/1/08,76.174,107.9214,1333.25,106.98,880.09,96.15,2.4001,2346.9,419.1,88.2,7121.5,877.8,4.006
18/1/08,76.383,107.9838,1325.19,106.8,878.32,95.49,2.3461,2340.02,419.32,88.9,7062,883.1,3.988
21/1/08,76.866,107.6022,1325.19,106.8,878.32,95.49,2.3448,2340.02,419.32,87.36,6910,865,3.988
22/1/08,76.346,107.7964,1310.5,107.03,873.29,96.5099,1.9934,2292.27,418.21,87.43,6920,892.3,3.924
23/1/08,76.401,107.6998,1338.6,107.17,872.27,96.29,2.1468,2316.41,415.74,86.33,7000.5,891.07,3.699
24/1/08,75.692,108.042,1352.07,106.26,878.14,94.36,2.3094,2360.92,418.37,87.05,7092,912.9,3.884
25/1/08,75.973,108.2887,1330.61,107.41,884.98,95.95,2.1818,2326.2,419.92,90.15,7120,913.9,3.88
28/1/08,75.579,108.3651,1353.97,107.38,884.5,95.59,2.1885,2349.91,421.06,90.05,6893,928.38,3.791
29/1/08,75.545,108.5269,1362.3,107.2,888.47,94.94,2.2857,2358.06,423.96,91.75,7171,923.44,3.698
30/1/08,75.032,108.533,1355.81,107.18,888.66,94.32,2.1651,2349,423.42,91.72,7165,929.4,3.71
31/1/08,75.178,108.6932,1378.55,107.53,888.52,94.99,2.0929,2389.86,426.88,90.9,7170.5,926.1,3.885
1/2/08,75.445,108.7949,1395.42,107.49,889.87,95.23,2.0685,2413.36,429.29,90.71,7345,905.3,3.731
4/2/08,75.37,108.7902,1380.82,107.2,891.18,94.25,2.0604,2382.85,430.46,90.45,7295,903.6,3.698
5/2/08,76.116,108.6557,1336.64,107.57,888.98,94.97,1.9152,2309.57,429.55,89.04,7202,888.2,3.605
